test,N,M,C,total_cost,millis
from_datA10_M10_N10_C7.txt,10,10,7,10,1.309
from_datA1_M10_N10_C7.txt,10,10,7,15,1.168
from_datA2_M10_N10_C7.txt,10,10,7,8,0.817
from_datA3_M10_N10_C7.txt,10,10,7,9,0.446
from_datA4_M10_N10_C7.txt,10,10,7,10,0.519
from_datA5_M10_N10_C7.txt,10,10,7,10,0.506
from_datA6_M10_N10_C7.txt,10,10,7,15,0.503
from_datA7_M10_N10_C7.txt,10,10,7,6,0.348
from_datA8_M10_N10_C7.txt,10,10,7,10,0.382
from_datA9_M10_N10_C7.txt,10,10,7,12,0.496
from_datB10_M15_N20_C12.txt,20,15,12,15,1.929
from_datB1_M15_N20_C12.txt,20,15,12,6,1.360
from_datB2_M15_N20_C12.txt,20,15,12,8,2.258
from_datB3_M15_N20_C12.txt,20,15,12,9,2.009
from_datB4_M15_N20_C12.txt,20,15,12,4,1.491
from_datB5_M15_N20_C12.txt,20,15,12,8,1.819
from_datB6_M15_N20_C12.txt,20,15,12,11,2.281
from_datB7_M15_N20_C12.txt,20,15,12,8,1.868
from_datB8_M15_N20_C12.txt,20,15,12,12,2.177
from_datB9_M15_N20_C12.txt,20,15,12,9,1.796
from_datC10_M30_N40_C25.txt,40,30,25,34,45.665
from_datC1_M30_N40_C25.txt,40,30,25,48,41.243
from_datC2_M30_N40_C25.txt,40,30,25,29,38.200
from_datC3_M30_N40_C25.txt,40,30,25,40,31.250
from_datC4_M30_N40_C25.txt,40,30,25,35,32.304
from_datC5_M30_N40_C25.txt,40,30,25,30,33.912
from_datC6_M30_N40_C25.txt,40,30,25,27,37.904
from_datC7_M30_N40_C25.txt,40,30,25,22,29.809
from_datC8_M30_N40_C25.txt,40,30,25,33,32.880
from_datC9_M30_N40_C25.txt,40,30,25,29,32.199
from_datD10_M40_N60_C30.txt,60,40,30,92,156.915
from_datD1_M40_N60_C30.txt,60,40,30,113,153.922
from_datD2_M40_N60_C30.txt,60,40,30,86,104.039
from_datD3_M40_N60_C30.txt,60,40,30,96,137.503
from_datD4_M40_N60_C30.txt,60,40,30,105,135.534
from_datD5_M40_N60_C30.txt,60,40,30,97,120.652
from_datD6_M40_N60_C30.txt,60,40,30,125,163.787
from_datD7_M40_N60_C30.txt,60,40,30,72,141.685
from_datD8_M40_N60_C30.txt,60,40,30,86,120.672
from_datD9_M40_N60_C30.txt,60,40,30,95,145.091
