algorithm,test,N,M,C,total_cost,millis
FLOW_Privault-Finke,rand_M10_N20_C3_id000.txt,20,10,3,30,0.206
FLOW_Privault-Finke,rand_M11_N22_C3_id000.txt,22,11,3,31,0.195
FLOW_Privault-Finke,rand_M12_N24_C3_id000.txt,24,12,3,35,0.254
FLOW_Privault-Finke,rand_M13_N26_C3_id000.txt,26,13,3,44,0.346
FLOW_Privault-Finke,rand_M14_N28_C3_id000.txt,28,14,3,42,0.360
FLOW_Privault-Finke,rand_M15_N30_C3_id000.txt,30,15,3,47,0.362
FLOW_Privault-Finke,rand_M16_N32_C4_id000.txt,32,16,4,50,0.547
FLOW_Privault-Finke,rand_M17_N34_C4_id000.txt,34,17,4,58,0.782
FLOW_Privault-Finke,rand_M18_N36_C4_id000.txt,36,18,4,56,0.834
FLOW_Privault-Finke,rand_M19_N38_C4_id000.txt,38,19,4,69,0.965
FLOW_Privault-Finke,rand_M20_N40_C4_id000.txt,40,20,4,68,0.964
FLOW_Privault-Finke,rand_M21_N42_C4_id000.txt,42,21,4,74,1.227
FLOW_Privault-Finke,rand_M22_N44_C4_id000.txt,44,22,4,80,1.114
FLOW_Privault-Finke,rand_M23_N46_C4_id000.txt,46,23,4,98,1.531
FLOW_Privault-Finke,rand_M24_N48_C4_id000.txt,48,24,4,97,1.420
FLOW_Privault-Finke,rand_M25_N50_C5_id000.txt,50,25,5,118,2.678
FLOW_Privault-Finke,rand_M26_N52_C5_id000.txt,52,26,5,123,3.030
FLOW_Privault-Finke,rand_M27_N54_C5_id000.txt,54,27,5,108,2.183
FLOW_Privault-Finke,rand_M28_N56_C5_id000.txt,56,28,5,137,3.651
FLOW_Privault-Finke,rand_M29_N58_C5_id000.txt,58,29,5,124,3.009
FLOW_Privault-Finke,rand_M30_N60_C5_id000.txt,60,30,5,131,4.044
FLOW_Privault-Finke,rand_M31_N62_C5_id000.txt,62,31,5,128,3.434
FLOW_Privault-Finke,rand_M32_N64_C5_id000.txt,64,32,5,166,5.470
FLOW_Privault-Finke,rand_M33_N66_C5_id000.txt,66,33,5,155,4.453
FLOW_Privault-Finke,rand_M34_N68_C5_id000.txt,68,34,5,159,5.913
FLOW_Privault-Finke,rand_M35_N70_C5_id000.txt,70,35,5,175,6.503
FLOW_Privault-Finke,rand_M36_N72_C6_id000.txt,72,36,6,175,9.463
FLOW_Privault-Finke,rand_M37_N74_C6_id000.txt,74,37,6,196,8.949
FLOW_Privault-Finke,rand_M38_N76_C6_id000.txt,76,38,6,191,8.077
FLOW_Privault-Finke,rand_M39_N78_C6_id000.txt,78,39,6,218,9.959
FLOW_Privault-Finke,rand_M40_N80_C6_id000.txt,80,40,6,230,10.437
FLOW_Privault-Finke,rand_M41_N82_C6_id000.txt,82,41,6,231,9.627
FLOW_Privault-Finke,rand_M42_N84_C6_id000.txt,84,42,6,209,8.374
FLOW_Privault-Finke,rand_M43_N86_C6_id000.txt,86,43,6,211,10.056
FLOW_Privault-Finke,rand_M44_N88_C6_id000.txt,88,44,6,225,9.216
FLOW_Privault-Finke,rand_M45_N90_C6_id000.txt,90,45,6,262,12.121
FLOW_Privault-Finke,rand_M46_N92_C6_id000.txt,92,46,6,260,11.336
FLOW_Privault-Finke,rand_M47_N94_C6_id000.txt,94,47,6,253,10.465
FLOW_Privault-Finke,rand_M48_N96_C6_id000.txt,96,48,6,254,11.594
FLOW_Privault-Finke,rand_M49_N98_C7_id000.txt,98,49,7,304,16.720
FLOW_Privault-Finke,rand_M4_N8_C2_id000.txt,8,4,2,7,0.021
FLOW_Privault-Finke,rand_M5_N10_C2_id000.txt,10,5,2,8,0.018
FLOW_Privault-Finke,rand_M6_N12_C2_id000.txt,12,6,2,11,0.026
FLOW_Privault-Finke,rand_M7_N14_C2_id000.txt,14,7,2,14,0.034
FLOW_Privault-Finke,rand_M8_N16_C2_id000.txt,16,8,2,19,0.044
FLOW_Privault-Finke,rand_M9_N18_C3_id000.txt,18,9,3,29,0.198
